FID,Empire,Continent,Origin,StartOriginal,Start,End,heightArea,heightYear,Length,pop0,pop25,pop50,pop75,pop100,SameStartYear,ModifiedStartYear,Information
80,Han dynasty,Asia,China,-206,-206,220,0.01,7,426,0,13,83,55,0,0,-206,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
81,Hanseatic League,Europe,NorthÂ andÂ Baltic Sea,1356,1356,1648,0.01,1502,292,0,30,88,89,0,0,1356,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
82,Hephthalite Empire,Asia,Afghanistan,420,420,567,4,470,147,0,42,89,70,0,0,420,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
83,Hittite Empire,Europe,Anatolia,-1460,-1460,-1180,0.01,-1320,280,0,17,73,93,0,0,-1460,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
84,Holy Roman Empire,Europe,Central Europe,962,962,1806,1,1050,844,0,37,53,54,0,0,962,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
85,Hotak dynasty,Asia,Persia,1709,1709,1738,0.01,1723.5,29,0,35,67,74,0,0,1709,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
86,Hoysala Empire,Asia,India,1026,1026,1343,0.01,1184.5,317,0,18,64,64,0,0,1026,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
87,Hunnic Empire,Europe,Eurasia,370,370,469,4,441,99,0,28,88,63,0,0,370,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
88,Idrisid dynasty,Africa,Morocco,788,788,974,0.01,881,186,0,22,76,60,0,0,788,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
89,Ilkhanate,Asia,Persia,1256,1256,1335,3.75,1310,79,0,44,78,67,0,0,1256,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
90,Inca EmpireÂ (Tawantinsuyo),South America,"AndesÂ (Peru,Â Bolivia,Â Ecuador, parts ofÂ Chile,Â ArgentinaÂ andÂ Colombia)",1438,1438,1533,0.01,1485.5,95,0,22,84,52,0,0,1438,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
91,Italian Empire,Europe,Italy,1885,1885,1943,3.798,1938,58,0,19,86,83,0,0,1885,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
92,Jin dynasty (1115â€“1234),Asia,"Northern China,Â Manchuria",1115,1115,1234,2.3,1126,119,0,35,99,56,0,0,1115,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
93,Jin dynasty (265â€“420),Asia,China,265,265,420,0.01,342.5,155,0,44,79,98,0,0,265,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
94,Jolof Empire,Africa,West Africa,1350,1350,1549,0.01,1449.5,199,0,10,77,84,0,0,1350,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
95,Kaabu Empire,Africa,West Africa,1537,1537,1867,0.01,1702,330,0,36,73,92,0,0,1537,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
96,Kalmar Union,Europe,Scandinavia,1397,1397,1523,0.01,1460,126,0,39,70,55,0,0,1397,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
97,Kanem Empire,Africa,Chad,700,700,1387,0.01,1043.5,687,0,36,67,57,0,0,700,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
98,Kanva dynasty,Asia,India,-75,-75,-30,0.01,-52.5,45,0,10,98,65,0,0,-75,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
99,Kara-Khanid Khanate,Asia,Turkistan,840,840,1212,0.01,1026,372,0,34,66,99,0,0,840,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
100,Khazar Khaganate,Europe,"Pontic steppe,Â North Caucasus",700,700,1000,0.01,850,300,0,46,65,98,0,0,700,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
101,Khilji dynasty,Asia,Afghanistan,1290,1290,1320,0.01,1305,30,0,21,61,53,0,0,1290,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
102,Khmer Empire,Asia,Cambodia,802,802,1431,1,1290,629,0,32,89,50,0,0,802,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
103,Khwarazmian dynasty,Asia,Persia,1077,1077,1221,0.01,1149,144,0,16,91,90,0,0,1077,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
104,Kingdom of Israel (united monarchy),Asia,Israel,-1050,-1050,-586,0.01,-818,464,0,19,77,72,0,0,-1050,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
105,Kingdom of Prussia,Europe,Germany,1701,1701,1871,0.01,1786,170,0,27,82,96,0,0,1701,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
106,Konbaung dynasty,Asia,Myanmar,1752,1752,1885,0.01,1818.5,133,0,34,63,79,0,0,1752,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
107,Kong Empire,Africa,West Africa,1710,1710,1898,0.01,1804,188,0,30,86,89,0,0,1710,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
108,Korean Empire,Asia,Korean Peninsula,1897,1897,1910,0.01,1903.5,13,0,20,64,64,0,0,1897,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
109,Kushan Empire,Asia,Afghanistan,30,30,345,2,200,315,0,44,100,59,0,0,30,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
110,Kushite Empire,Africa,"Egypt,Â Nubia",-760,-760,-656,0.01,-708,104,0,14,66,86,0,0,-760,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
111,Lakota people,North America,Great Plains,1700,1700,1877,0.01,1788.5,177,0,17,76,63,0,0,1700,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
112,Later LÃª dynasty,Asia,Vietnam,1428,1428,1789,0.01,1608.5,361,0,46,54,86,0,0,1428,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
113,Latin Empire,Europe,"Thrace,Â Asia Minor",1204,1204,1261,0.01,1232.5,57,0,10,73,65,0,0,1204,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
114,Liao dynasty,Asia,China,915,915,1125,2.6,947,210,0,14,97,97,0,0,915,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
115,Lodi Sultanate,Asia,Afghanistan,1451,1451,1526,0.01,1488.5,75,0,50,79,56,0,0,1451,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
116,Macedonian Empire,Europe,Macedonian Kingdom,-334,-334,-323,5.2,-323,11,0,16,85,74,0,0,-334,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
117,Madurai Nayak dynasty,Asia,South India,1529,1529,1736,0.01,1632.5,207,0,29,93,69,0,0,1529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
118,Majapahit Empire,Asia,Indonesian Archipelago,1293,1293,1527,0.01,1410,234,0,16,96,64,0,0,1293,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
119,Mali Empire,Africa,West Africa,1235,1235,1610,1.1,1380,375,0,47,65,64,0,0,1235,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
